"","edition","round","score","team1","team2","url","venue","year"
"1314","1978-ARGENTINA","PRELIMINARY-Europe","0-2 (0-0)","Wales (Cymru)","Scotland","1978_ARGENTINA_PR.htm","Liverpool.",1977
"1315","1978-ARGENTINA","PRELIMINARY-N/C.America","3-1 (1-0)","Mexico (México)","El Salvador","1978_ARGENTINA_PR.htm","México D.F.",1977
"1316","1978-ARGENTINA","PRELIMINARY-N/C.America","2-1 (1-1)","Canada","Surinam (Suriname)","1978_ARGENTINA_PR.htm","México D.F.",1977
"1317","1978-ARGENTINA","PRELIMINARY-N/C.America","2-1 (2-0)","Haiti (Haïti)","Guatemala","1978_ARGENTINA_PR.htm","Monterrey.",1977
"1318","1978-ARGENTINA","PRELIMINARY-Europe","6-1 (3-0)","Italy (Italia)","Finland (Suomi)","1978_ARGENTINA_PR.htm","Torino.",1977
"1319","1978-ARGENTINA","PRELIMINARY-N/C.America","8-1 (3-1)","Mexico (México)","Surinam (Suriname)","1978_ARGENTINA_PR.htm","Monterrey.",1977
"1320","1978-ARGENTINA","PRELIMINARY-N/C.America","1-0 (1-0)","Haiti (Haïti)","El Salvador","1978_ARGENTINA_PR.htm","México D.F.",1977
"1321","1978-ARGENTINA","PRELIMINARY-N/C.America","2-1 (2-0)","Canada","Guatemala","1978_ARGENTINA_PR.htm","México D.F.",1977
"1322","1978-ARGENTINA","PRELIMINARY-As./O.","1-2 (0-1)","Australia","Kuwait (الكويت)","1978_ARGENTINA_PR.htm","Sydney.",1977
"1323","1978-ARGENTINA","PRELIMINARY-N/C.America","2-1 (1-1)","Mexico (México)","Guatemala","1978_ARGENTINA_PR.htm","México D.F.",1977
"1324","1978-ARGENTINA","PRELIMINARY-N/C.America","3-2 (1-0)","El Salvador","Surinam (Suriname)","1978_ARGENTINA_PR.htm","Monterrey.",1977
"1325","1978-ARGENTINA","PRELIMINARY-N/C.America","1-1 (0-0)","Canada","Haiti (Haïti)","1978_ARGENTINA_PR.htm","Monterrey.",1977
"1326","1978-ARGENTINA","PRELIMINARY-Africa","3-1 (2-0)","Egypt (مصر)","Nigeria","1978_ARGENTINA_PR.htm","Cairo.",1977
"1327","1978-ARGENTINA","PRELIMINARY-N/C.America","3-1 (2-1)","Mexico (México)","Canada","1978_ARGENTINA_PR.htm","Monterrey.",1977
"1328","1978-ARGENTINA","PRELIMINARY-N/C.America","1-0 (1-0)","Haiti (Haïti)","Surinam (Suriname)","1978_ARGENTINA_PR.htm","México D.F.",1977
"1329","1978-ARGENTINA","PRELIMINARY-N/C.America","2-2 (0-1)","Guatemala","El Salvador","1978_ARGENTINA_PR.htm","México D.F.",1977
"1330","1978-ARGENTINA","PRELIMINARY-As./O.","0-0 (0-0)","South Korea (한국)","Australia","1978_ARGENTINA_PR.htm","Seoul.",1977
"1331","1978-ARGENTINA","PRELIMINARY-Europe","1-0 (1-0)","Netherlands (Nederland)","Belgium (België)","1978_ARGENTINA_PR.htm","Amsterdam.",1977
"1332","1978-ARGENTINA","PRELIMINARY-Europe","2-0 (0-0)","Spain (España)","Romania (România)","1978_ARGENTINA_PR_GD.htm#WC-78-I-3","Madrid.",1977
"1333","1978-ARGENTINA","PRELIMINARY-As./O.","1-0 (0-0)","Iran (ایران)","Kuwait (الكويت)","1978_ARGENTINA_PR.htm","Tehran.",1977
"1334","1978-ARGENTINA","PRELIMINARY-Europe","1-1 (1-0)","Poland (Polska)","Portugal","1978_ARGENTINA_PR.htm","Chorzów.",1977
"1335","1978-ARGENTINA","PRELIMINARY-Europe","9-0 (3-0)","GDR (DDR / Ostdeutschland)","Malta","1978_ARGENTINA_PR.htm","Potsdam.",1977
"1336","1978-ARGENTINA","PRELIMINARY-Europe","6-0 (5-0)","Hungary (Magyarország)","Bolivia","1978_ARGENTINA_PR.htm","Budapest.",1977
"1337","1978-ARGENTINA","PRELIMINARY-Europe","0-1 (0-0)","Turkey (Türkiye)","Austria (Österreich)","1978_ARGENTINA_PR.htm","İzmir.",1977
"1338","1978-ARGENTINA","PRELIMINARY-Europe","1-0 (1-0)","Switzerland (Schweiz / Suisse)","Norway (Norge)","1978_ARGENTINA_PR.htm","Bern.",1977
"1339","1978-ARGENTINA","PRELIMINARY-As./O.","2-5 (0-3)","Hong Kong (香港)","Australia","1978_ARGENTINA_PR.htm","Hong Kong.",1977
"1340","1978-ARGENTINA","PRELIMINARY-As./O.","2-2 (0-1)","Kuwait (الكويت)","South Korea (한국)","1978_ARGENTINA_PR.htm","Kuwait.",1977
"1341","1978-ARGENTINA","PRELIMINARY-As./O.","2-2 (0-1)","Iran (ایران)","South Korea (한국)","1978_ARGENTINA_PR.htm","Tehran.",1977
"1342","1978-ARGENTINA","PRELIMINARY-Africa","0-1 (0-0)","Nigeria","Tunisia (تونس)","1978_ARGENTINA_PR.htm","Lagos.",1977
"1343","1978-ARGENTINA","PRELIMINARY-As./O.","4-0 (3-0)","Kuwait (الكويت)","Hong Kong (香港)","1978_ARGENTINA_PR.htm","Kuwait.",1977
"1344","1978-ARGENTINA","PRELIMINARY-Europe","4-6 (3-2)","Romania (România)","Yugoslavia (Југославија)","1978_ARGENTINA_PR.htm","Bucureşti.",1977
"1345","1978-ARGENTINA","PRELIMINARY-Europe","4-0 (2-0)","Portugal","Cyprus (Κύπρος)","1978_ARGENTINA_PR.htm","Faro.",1977
"1346","1978-ARGENTINA","PRELIMINARY-Europe","2-0 (1-0)","England","Italy (Italia)","1978_ARGENTINA_PR.htm","London.",1977
"1347","1978-ARGENTINA","PRELIMINARY-Europe","1-2 (0-1)","Turkey (Türkiye)","GDR (DDR / Ostdeutschland)","1978_ARGENTINA_PR.htm","İzmir.",1977
"1348","1978-ARGENTINA","PRELIMINARY-Europe","3-0 (1-0)","Northern Ireland (Ulster)","Belgium (België)","1978_ARGENTINA_PR.htm","Belfast.",1977
"1349","1978-ARGENTINA","PRELIMINARY-Europe","3-1 (1-0)","France","Bulgaria (България)","1978_ARGENTINA_PR.htm","Paris.",1977
"1350","1978-ARGENTINA","PRELIMINARY-Europe","1-0 (1-0)","Czechoslovakia (Československo)","Wales (Cymru)","1978_ARGENTINA_PR.htm","Praha.",1977
"1351","1978-ARGENTINA","PRELIMINARY-As./O.","3-0 (3-0)","Iran (ایران)","Hong Kong (香港)","1978_ARGENTINA_PR.htm","Tehran.",1977
"1352","1978-ARGENTINA","PRELIMINARY-As./O.","1-0 (0-0)","Kuwait (الكويت)","Australia","1978_ARGENTINA_PR.htm","Kuwait.",1977
"1353","1978-ARGENTINA","PRELIMINARY-Africa","3-2 (1-0)","Egypt (مصر)","Tunisia (تونس)","1978_ARGENTINA_PR.htm","Cairo.",1977
"1354","1978-ARGENTINA","PRELIMINARY-As./O.","1-0 (0-0)","Iran (ایران)","Australia","1978_ARGENTINA_PR.htm","Tehran.",1977
"1355","1978-ARGENTINA","PRELIMINARY-Europe","0-3 (0-2)","Malta","Turkey (Türkiye)","1978_ARGENTINA_PR.htm","Valletta.",1977
"1356","1978-ARGENTINA","PRELIMINARY-Europe","0-1 (0-0)","Yugoslavia (Југославија)","Spain (España)","1978_ARGENTINA_PR_GD.htm#WC-78-I-4","Beograd.",1977
"1357","1978-ARGENTINA","PRELIMINARY-Europe","2-3 (1-2)","Bolivia","Hungary (Magyarország)","1978_ARGENTINA_PR.htm","La_Paz.",1977
"1358","1978-ARGENTINA","PRELIMINARY-Europe","3-0 (2-0)","Italy (Italia)","Luxembourg (Lëtzebuerg)","1978_ARGENTINA_PR.htm","Roma.",1977
"1359","1978-ARGENTINA","PRELIMINARY-As./O.","1-2 (1-0)","Kuwait (الكويت)","Iran (ایران)","1978_ARGENTINA_PR.htm","Kuwait.",1977
"1360","1978-ARGENTINA","PRELIMINARY-As./O.","5-2 (2-0)","South Korea (한국)","Hong Kong (香港)","1978_ARGENTINA_PR.htm","Seoul.",1977
"1361","1978-ARGENTINA","PRELIMINARY-Africa","4-1 (2-0)","Tunisia (تونس)","Egypt (مصر)","1978_ARGENTINA_PR.htm","Tunis.",1977
"1362","1978-ARGENTINA","GROUP_STAGE","0-0 (0-0)","FRG (BRD / Westdeutschland)","Poland (Polska)","1978_ARGENTINA_FS.htm#277-WC-78-I","Buenos Aires.",1978
"1363","1978-ARGENTINA","GROUP_STAGE","2-1 (1-1)","Italy (Italia)","France","1978_ARGENTINA_FS.htm#271-WC-78-I","Mar_del_Plata.",1978
"1364","1978-ARGENTINA","GROUP_STAGE","3-1 (0-1)","Tunisia (تونس)","Mexico (México)","1978_ARGENTINA_FS.htm#278-WC-78-I","Rosario.",1978
"1365","1978-ARGENTINA","GROUP_STAGE","2-1 (1-1)","Argentina","Hungary (Magyarország)","1978_ARGENTINA_FS.htm#272-WC-78-I","Buenos Aires.",1978
"1366","1978-ARGENTINA","GROUP_STAGE","2-1 (1-1)","Austria (Österreich)","Spain (España)","1978_ARGENTINA_FS.htm#283-WC-78-I","Buenos Aires.",1978
"1367","1978-ARGENTINA","GROUP_STAGE","1-1 (1-1)","Sweden (Sverige)","Brazil (Brasil)","1978_ARGENTINA_FS.htm#284-WC-78-I","Mar_del_Plata.",1978
"1368","1978-ARGENTINA","GROUP_STAGE","3-1 (1-1)","Peru (Perú)","Scotland","1978_ARGENTINA_FS.htm#289-WC-78-I","Córdoba.",1978
"1369","1978-ARGENTINA","GROUP_STAGE","3-0 (1-0)","Netherlands (Nederland)","Iran (ایران)","1978_ARGENTINA_FS.htm#290-WC-78-I","Mendoza.",1978
"1370","1978-ARGENTINA","GROUP_STAGE","3-1 (2-0)","Italy (Italia)","Hungary (Magyarország)","1978_ARGENTINA_FS.htm#273-WC-78-I","Mar_del_Plata.",1978
"1371","1978-ARGENTINA","GROUP_STAGE","6-0 (4-0)","FRG (BRD / Westdeutschland)","Mexico (México)","1978_ARGENTINA_FS.htm#279-WC-78-I","Córdoba.",1978
"1372","1978-ARGENTINA","GROUP_STAGE","1-0 (1-0)","Poland (Polska)","Tunisia (تونس)","1978_ARGENTINA_FS.htm#280-WC-78-I","Rosario.",1978
"1373","1978-ARGENTINA","GROUP_STAGE","2-1 (1-0)","Argentina","France","1978_ARGENTINA_FS.htm#274-WC-78-I","Buenos Aires.",1978
"1374","1978-ARGENTINA","GROUP_STAGE","1-0 (1-0)","Austria (Österreich)","Sweden (Sverige)","1978_ARGENTINA_FS.htm#285-WC-78-I","Buenos Aires.",1978
"1375","1978-ARGENTINA","GROUP_STAGE","0-0 (0-0)","Brazil (Brasil)","Spain (España)","1978_ARGENTINA_FS.htm#286-WC-78-I","Mar_del_Plata.",1978
"1376","1978-ARGENTINA","GROUP_STAGE","1-1 (1-0)","Scotland","Iran (ایران)","1978_ARGENTINA_FS.htm#291-WC-78-I","Córdoba.",1978
"1377","1978-ARGENTINA","GROUP_STAGE","0-0 (0-0)","Netherlands (Nederland)","Peru (Perú)","1978_ARGENTINA_FS.htm#292-WC-78-I","Mendoza.",1978
"1378","1978-ARGENTINA","GROUP_STAGE","3-1 (3-1)","France","Hungary (Magyarország)","1978_ARGENTINA_FS.htm#275-WC-78-I","Mar_del_Plata.",1978
"1379","1978-ARGENTINA","GROUP_STAGE","0-0 (0-0)","FRG (BRD / Westdeutschland)","Tunisia (تونس)","1978_ARGENTINA_FS.htm#281-WC-78-I","Córdoba.",1978
"1380","1978-ARGENTINA","GROUP_STAGE","3-1 (1-0)","Poland (Polska)","Mexico (México)","1978_ARGENTINA_FS.htm#282-WC-78-I","Rosario.",1978
"1381","1978-ARGENTINA","GROUP_STAGE","1-0 (0-0)","Italy (Italia)","Argentina","1978_ARGENTINA_FS.htm#276-WC-78-I","Buenos Aires.",1978
"1382","1978-ARGENTINA","GROUP_STAGE","1-0 (0-0)","Spain (España)","Sweden (Sverige)","1978_ARGENTINA_FS.htm#287-WC-78-I","Buenos Aires.",1978
"1383","1978-ARGENTINA","GROUP_STAGE","1-0 (1-0)","Brazil (Brasil)","Austria (Österreich)","1978_ARGENTINA_FS.htm#288-WC-78-I","Mar_del_Plata.",1978
"1384","1978-ARGENTINA","GROUP_STAGE","4-1 (3-1)","Peru (Perú)","Iran (ایران)","1978_ARGENTINA_FS.htm#293-WC-78-I","Córdoba.",1978
"1385","1978-ARGENTINA","GROUP_STAGE","3-2 (1-1)","Scotland","Netherlands (Nederland)","1978_ARGENTINA_FS.htm#294-WC-78-I","Mendoza.",1978
"1386","1978-ARGENTINA","SEMIFINAL_STAGE","5-1 (3-0)","Netherlands (Nederland)","Austria (Österreich)","1978_ARGENTINA_FS.htm#295-WC-78-II","Córdoba.",1978
"1387","1978-ARGENTINA","SEMIFINAL_STAGE","0-0 (0-0)","FRG (BRD / Westdeutschland)","Italy (Italia)","1978_ARGENTINA_FS.htm#296-WC-78-II","Buenos Aires.",1978
"1388","1978-ARGENTINA","SEMIFINAL_STAGE","3-0 (2-0)","Brazil (Brasil)","Peru (Perú)","1978_ARGENTINA_FS.htm#301-WC-78-II","Mendoza.",1978
"1389","1978-ARGENTINA","SEMIFINAL_STAGE","2-0 (1-0)","Argentina","Poland (Polska)","1978_ARGENTINA_FS.htm#302-WC-78-II","Rosario.",1978
"1390","1978-ARGENTINA","SEMIFINAL_STAGE","1-0 (0-0)","Poland (Polska)","Peru (Perú)","1978_ARGENTINA_FS.htm#303-WC-78-II","Mendoza.",1978
"1391","1978-ARGENTINA","SEMIFINAL_STAGE","2-2 (1-1)","FRG (BRD / Westdeutschland)","Netherlands (Nederland)","1978_ARGENTINA_FS.htm#297-WC-78-II","Córdoba.",1978
"1392","1978-ARGENTINA","SEMIFINAL_STAGE","1-0 (1-0)","Italy (Italia)","Austria (Österreich)","1978_ARGENTINA_FS.htm#298-WC-78-II","Buenos Aires.",1978
"1393","1978-ARGENTINA","SEMIFINAL_STAGE","0-0 (0-0)","Argentina","Brazil (Brasil)","1978_ARGENTINA_FS.htm#304-WC-78-II","Rosario.",1978
"1394","1978-ARGENTINA","SEMIFINAL_STAGE","3-2 (0-1)","Austria (Österreich)","FRG (BRD / Westdeutschland)","1978_ARGENTINA_FS.htm#299-WC-78-II","Córdoba.",1978
"1395","1978-ARGENTINA","SEMIFINAL_STAGE","2-1 (0-1)","Netherlands (Nederland)","Italy (Italia)","1978_ARGENTINA_FS.htm#300-WC-78-II","Buenos Aires.",1978
"1396","1978-ARGENTINA","SEMIFINAL_STAGE","3-1 (1-1)","Brazil (Brasil)","Poland (Polska)","1978_ARGENTINA_FS.htm#305-WC-78-II","Mendoza.",1978
"1397","1978-ARGENTINA","SEMIFINAL_STAGE","6-0 (2-0)","Argentina","Peru (Perú)","1978_ARGENTINA_FS.htm#306-WC-78-II","Rosario.",1978
"1398","1978-ARGENTINA","PLACES_3&4","2-1 (0-1)","Brazil (Brasil)","Italy (Italia)","1978_ARGENTINA_FS.htm#307-WC-78-III","Buenos Aires.",1978
"1399","1978-ARGENTINA","_FINAL","3-1 (1-0) (a.e.t.)","Argentina","Netherlands (Nederland)","1978_ARGENTINA_FS.htm#308-WC-78-IV","Buenos Aires.",1978
"1400","1982-SPAIN","PRELIMINARY-Europe","2-3 (1-3)","Cyprus (Κύπρος)","Ireland (Éire)","1982_SPAIN_PR.htm","Levkosía.",1980
"1401","1982-SPAIN","PRELIMINARY-Europe","0-0 (0-0)","Israel (ישראל)","Northern Ireland (Ulster)","1982_SPAIN_PR.htm","Tel Aviv.",1980
"1402","1982-SPAIN","PRELIMINARY-N/C.America","5-2 (2-2)","Guyana","Grenada","1982_SPAIN_PR.htm","Georgetown.",1980
"1403","1982-SPAIN","PRELIMINARY-N/C.America","2-3 (0-2)","Grenada","Guyana","1982_SPAIN_PR.htm","St._Georges.",1980
"1404","1982-SPAIN","PRELIMINARY-Africa","2-1 (1-0)","Libya (ليبيا)","Gambia","1982_SPAIN_PR.htm","Tripoli.",1980
"1405","1982-SPAIN","PRELIMINARY-Africa","0-0 (0-0)","Ethiopia (ኢትዮጵያ)","Zambia","1982_SPAIN_PR.htm","Addis Ababa.",1980
"1406","1982-SPAIN","PRELIMINARY-Africa","2-2 (0-0)","Sierra Leone","Algeria (الجزائر)","1982_SPAIN_PR.htm","Freetown.",1980
"1407","1982-SPAIN","PRELIMINARY-Africa","4-0 (2-0)","Zambia","Ethiopia (ኢትዮጵያ)","1982_SPAIN_PR.htm","Ndola.",1980
"1408","1982-SPAIN","PRELIMINARY-Europe","0-4 (0-1)","Iceland (Ísland)","Wales (Cymru)","1982_SPAIN_PR.htm","Reykjavík.",1980
"1409","1982-SPAIN","PRELIMINARY-Europe","0-2 (0-1)","Finland (Suomi)","Bulgaria (България)","1982_SPAIN_PR.htm","Helsinki.",1980
"1410","1982-SPAIN","PRELIMINARY-Africa","3-1 (1-0)","Algeria (الجزائر)","Sierra Leone","1982_SPAIN_PR.htm","Oran.",1980
"1411","1982-SPAIN","PRELIMINARY-Europe","1-1 (1-0)","Sweden (Sverige)","Israel (ישראל)","1982_SPAIN_PR.htm","Stockholm.",1980
"1412","1982-SPAIN","PRELIMINARY-Africa","0-1 (0-1)","Senegal (Sénégal)","Morocco (المغرب)","1982_SPAIN_PR.htm","Dakar.",1980
"1413","1982-SPAIN","PRELIMINARY-Africa","3-1 (1-1)","Guinea (Guinée)","Lesotho","1982_SPAIN_PR.htm","Conakry.",1980
"1414","1982-SPAIN","PRELIMINARY-Africa","2-0 (1-0)","Tunisia (تونس)","Nigeria","1982_SPAIN_PR.htm","Tunis.",1980
"1415","1982-SPAIN","PRELIMINARY-Africa","3-0 (1-0)","Cameroon (Cameroun)","Malawi (Malaŵi)","1982_SPAIN_PR.htm","Yaoundé.",1980
"1416","1982-SPAIN","PRELIMINARY-N/C.America","0-2 (0-1)","Panama (Panamá)","Guatemala","1982_SPAIN_PR.htm","Panamá.",1980
"1417","1982-SPAIN","PRELIMINARY-Africa","3-1 (1-1)","Kenya","Tanzania","1982_SPAIN_PR.htm","Nairobi.",1980
"1418","1982-SPAIN","PRELIMINARY-Africa","0-0 (0-0)","Gambia","Libya (ليبيا)","1982_SPAIN_PR.htm","Banjul.",1980
"1419","1982-SPAIN","PRELIMINARY-Africa","0-0 (0-0)","Morocco (المغرب)","Senegal (Sénégal)","1982_SPAIN_PR.htm","Casablanca.",1980
"1420","1982-SPAIN","PRELIMINARY-Africa","1-1 (0-1)","Lesotho","Guinea (Guinée)","1982_SPAIN_PR.htm","Maseru.",1980
"1421","1982-SPAIN","PRELIMINARY-Africa","2-0 (1-0) (p.k.)","Nigeria","Tunisia (تونس)","1982_SPAIN_PR.htm","Lagos.",1980
"1422","1982-SPAIN","PRELIMINARY-Africa","5-2 (1-1)","Zaire (Zaïre)","Mozambique (Moçambique)","1982_SPAIN_PR.htm","Kinshasa.",1980
"1423","1982-SPAIN","PRELIMINARY-Africa","0-0 (0-0)","Niger","Somalia (Soomaaliya)","1982_SPAIN_PR.htm","Niamey.",1980
"1424","1982-SPAIN","PRELIMINARY-Africa","5-0 (1-0)","Tanzania","Kenya","1982_SPAIN_PR.htm","Dar es Salaam.",1980
"1425","1982-SPAIN","PRELIMINARY-Africa","1-1 (0-0)","Malawi (Malaŵi)","Cameroon (Cameroun)","1982_SPAIN_PR.htm","Blantyre.",1980
"1426","1982-SPAIN","PRELIMINARY-Africa","1-2 (0-2)","Mozambique (Moçambique)","Zaire (Zaïre)","1982_SPAIN_PR.htm","Maputo.",1980
"1427","1982-SPAIN","PRELIMINARY-Africa","1-1 (0-1)","Somalia (Soomaaliya)","Niger","1982_SPAIN_PR.htm","Mogadisho.",1980
"1428","1982-SPAIN","PRELIMINARY-N/C.America","0-2 (0-1)","Panama (Panamá)","Honduras","1982_SPAIN_PR.htm","Panamá.",1980
"1429","1982-SPAIN","PRELIMINARY-N/C.America","2-0 (0-0)","Haiti (Haïti)","Trinidad and Tobago","1982_SPAIN_PR.htm","Port-au-Prince.",1980
"1430","1982-SPAIN","PRELIMINARY-N/C.America","1-1 (1-0)","Panama (Panamá)","Costa Rica","1982_SPAIN_PR.htm","Panamá.",1980
"1431","1982-SPAIN","PRELIMINARY-N/C.America","3-0 (0-0)","Cuba","Surinam (Suriname)","1982_SPAIN_PR.htm","La_Habana.",1980
"1432","1982-SPAIN","PRELIMINARY-N/C.America","1-0 (0-0)","Trinidad and Tobago","Haiti (Haïti)","1982_SPAIN_PR.htm","San_Fernando.",1980
"1433","1982-SPAIN","PRELIMINARY-N/C.America","1-3 (0-1)","Panama (Panamá)","El Salvador","1982_SPAIN_PR.htm","Panamá.",1980
"1434","1982-SPAIN","PRELIMINARY-Europe","2-0 (2-0)","Albania (Shqipëri)","Finland (Suomi)","1982_SPAIN_PR.htm","Tiranë.",1980
"1435","1982-SPAIN","PRELIMINARY-Europe","1-2 (0-1)","Iceland (Ísland)","Soviet Union (СССР)","1982_SPAIN_PR.htm","Reykjavík.",1980
"1436","1982-SPAIN","PRELIMINARY-N/C.America","0-0 (0-0)","Surinam (Suriname)","Cuba","1982_SPAIN_PR.htm","Paramaribo.",1980
"1437","1982-SPAIN","PRELIMINARY-Europe","2-1 (0-0)","Ireland (Éire)","Netherlands (Nederland)","1982_SPAIN_PR.htm","Dublin.",1980
"1438","1982-SPAIN","PRELIMINARY-Europe","4-0 (1-0)","England","Norway (Norge)","1982_SPAIN_PR.htm","London.",1980
"1439","1982-SPAIN","PRELIMINARY-Europe","0-5 (0-0)","Luxembourg (Lëtzebuerg)","Yugoslavia (Југославија)","1982_SPAIN_PR.htm","Luxembourg.",1980
"1440","1982-SPAIN","PRELIMINARY-Europe","0-1 (0-0)","Sweden (Sverige)","Scotland","1982_SPAIN_PR.htm","Stockholm.",1980
"1441","1982-SPAIN","PRELIMINARY-N/C.America","1-0 (0-0)","Haiti (Haïti)","Dutch Antilles (Nederlandse Antillen)","1982_SPAIN_PR.htm","Port-au-Prince.",1980
"1442","1982-SPAIN","PRELIMINARY-Europe","0-2 (0-1)","Finland (Suomi)","Austria (Österreich)","1982_SPAIN_PR.htm","Helsinki.",1980
"1443","1982-SPAIN","PRELIMINARY-Europe","1-3 (0-1)","Turkey (Türkiye)","Iceland (Ísland)","1982_SPAIN_PR.htm","İzmir.",1980
"1444","1982-SPAIN","PRELIMINARY-Europe","1-1 (1-1)","Norway (Norge)","Romania (România)","1982_SPAIN_PR.htm","Oslo.",1980
"1445","1982-SPAIN","PRELIMINARY-Europe","2-1 (2-1)","Yugoslavia (Југославија)","Denmark (Danmark)","1982_SPAIN_PR.htm","Ljubljana.",1980
"1446","1982-SPAIN","PRELIMINARY-N/C.America","0-1 (0-1)","Guyana","Surinam (Suriname)","1982_SPAIN_PR.htm","Georgetown.",1980
"1447","1982-SPAIN","PRELIMINARY-N/C.America","2-3 (0-2)","Costa Rica","Honduras","1982_SPAIN_PR.htm","San_José.",1980
"1448","1982-SPAIN","PRELIMINARY-N/C.America","4-1 (2-1)","El Salvador","Panama (Panamá)","1982_SPAIN_PR.htm","San_Salvador.",1980
"1449","1982-SPAIN","PRELIMINARY-Europe","0-7 (0-4)","Cyprus (Κύπρος)","France","1982_SPAIN_PR.htm","Lemesós.",1980
"1450","1982-SPAIN","PRELIMINARY-Europe","0-2 (0-1)","Luxembourg (Lëtzebuerg)","Italy (Italia)","1982_SPAIN_PR.htm","Luxembourg.",1980
"1451","1982-SPAIN","PRELIMINARY-N/C.America","0-0 (0-0)","Guatemala","Costa Rica","1982_SPAIN_PR.htm","Guatemala.",1980
"1452","1982-SPAIN","PRELIMINARY-N/C.America","4-0 (2-0)","Surinam (Suriname)","Guyana","1982_SPAIN_PR.htm","Paramaribo.",1980
"1453","1982-SPAIN","PRELIMINARY-Africa","2-0 (0-0)","Cameroon (Cameroun)","Zimbabwe","1982_SPAIN_PR.htm","Douala.",1980
"1454","1982-SPAIN","PRELIMINARY-Europe","1-1 (1-1)","Ireland (Éire)","Belgium (België)","1982_SPAIN_PR.htm","Dublin.",1980
"1455","1982-SPAIN","PRELIMINARY-Europe","4-0 (2-0)","Wales (Cymru)","Turkey (Türkiye)","1982_SPAIN_PR.htm","Cardiff.",1980
"1456","1982-SPAIN","PRELIMINARY-Europe","5-0 (2-0)","Soviet Union (СССР)","Iceland (Ísland)","1982_SPAIN_PR.htm","Moskva.",1980
"1457","1982-SPAIN","PRELIMINARY-Europe","2-1 (1-0)","Romania (România)","England","1982_SPAIN_PR.htm","Bucureşti.",1980
"1458","1982-SPAIN","PRELIMINARY-Europe","0-1 (0-0)","Denmark (Danmark)","Greece (Ελλάδα)","1982_SPAIN_PR.htm","København.",1980
"1459","1982-SPAIN","PRELIMINARY-Europe","3-0 (3-0)","Northern Ireland (Ulster)","Sweden (Sverige)","1982_SPAIN_PR.htm","Belfast.",1980
"1460","1982-SPAIN","PRELIMINARY-Europe","0-0 (0-0)","Scotland","Portugal","1982_SPAIN_PR.htm","Glasgow.",1980
"1461","1982-SPAIN","PRELIMINARY-N/C.America","1-1 (1-0)","Canada","Mexico (México)","1982_SPAIN_PR.htm","Toronto.",1980
"1462","1982-SPAIN","PRELIMINARY-Europe","2-1 (1-0)","Bulgaria (България)","Albania (Shqipëri)","1982_SPAIN_PR.htm","Sofija.",1980
"1463","1982-SPAIN","PRELIMINARY-N/C.America","0-0 (0-0)","USA","Canada","1982_SPAIN_PR.htm","Fort Lauderdale.",1980
"1464","1982-SPAIN","PRELIMINARY-N/C.America","0-0 (0-0)","Honduras","Guatemala","1982_SPAIN_PR.htm","Tegucigalpa.",1980
"1465","1982-SPAIN","PRELIMINARY-N/C.America","2-0 (w.o.)","El Salvador","Costa Rica","1982_SPAIN_PR.htm","San_Salvador.",1980
"1466","1982-SPAIN","PRELIMINARY-Europe","2-0 (1-0)","France","Ireland (Éire)","1982_SPAIN_PR.htm","Paris.",1980
"1467","1982-SPAIN","PRELIMINARY-Europe","1-2 (0-1)","Switzerland (Schweiz / Suisse)","Norway (Norge)","1982_SPAIN_PR.htm","Bern.",1980
"1468","1982-SPAIN","PRELIMINARY-Europe","2-0 (1-0)","Italy (Italia)","Denmark (Danmark)","1982_SPAIN_PR.htm","Roma.",1980
"1469","1982-SPAIN","PRELIMINARY-N/C.America","2-1 (2-0)","Canada","USA","1982_SPAIN_PR.htm","Vancouver.",1980
"1470","1982-SPAIN","PRELIMINARY-N/C.America","2-0 (1-0)","Costa Rica","Panama (Panamá)","1982_SPAIN_PR.htm","San_José.",1980
"1471","1982-SPAIN","PRELIMINARY-N/C.America","5-1 (4-0)","Mexico (México)","USA","1982_SPAIN_PR.htm","México D.F.",1980
"1472","1982-SPAIN","PRELIMINARY-N/C.America","0-0 (0-0)","Guatemala","El Salvador","1982_SPAIN_PR.htm","Guatemala.",1980
"1473","1982-SPAIN","PRELIMINARY-N/C.America","1-0 (1-0)","Cuba","Guyana","1982_SPAIN_PR.htm","La_Habana.",1980
"1474","1982-SPAIN","PRELIMINARY-N/C.America","0-0 (0-0)","Trinidad and Tobago","Dutch Antilles (Nederlandse Antillen)","1982_SPAIN_PR.htm","Port_of_Spain.",1980
"1475","1982-SPAIN","PRELIMINARY-Europe","0-0 (0-0)","Israel (ישראל)","Sweden (Sverige)","1982_SPAIN_PR.htm","Tel Aviv.",1980
"1476","1982-SPAIN","PRELIMINARY-Europe","5-0 (3-0)","Austria (Österreich)","Albania (Shqipëri)","1982_SPAIN_PR.htm","Wien.",1980
"1477","1982-SPAIN","PRELIMINARY-Europe","2-0 (1-0)","Italy (Italia)","Yugoslavia (Југославија)","1982_SPAIN_PR.htm","Torino.",1980
"1478","1982-SPAIN","PRELIMINARY-N/C.America","1-1 (0-0)","Mexico (México)","Canada","1982_SPAIN_PR.htm","México D.F.",1980
"1479","1982-SPAIN","PRELIMINARY-N/C.America","5-0 (2-0)","Guatemala","Panama (Panamá)","1982_SPAIN_PR.htm","Guatemala.",1980
